globalTime,priorityPlayer,timerID,elapsedMs
47456405886,2,7,25261
47456405886,1,7,25261
47456410612,2,7,29937
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456410612,1,14,1062
47456410612,2,14,1062
47456416648,1,7,29938
47456416648,2,7,29938
47456416648,1,7,29938
47456419312,2,7,32582
47456419312,2,7,32583
47456419312,1,7,32583
47456419312,2,7,32583
47456419312,1,7,32583
47456419312,2,7,32583
47456419312,1,7,32583
47456419312,2,7,32583
47456419312,1,7,32583
47456425358,2,7,38599
47456425358,1,7,38599
47456425358,2,7,38599
47456425358,1,7,38599
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456429168,1,14,7077
47456429168,2,14,7077
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456435825,2,7,42309
47456435825,1,7,42309
47456457406,2,7,63878
47456457406,2,7,63879
47456457406,1,7,63879
47456457406,2,7,63879
47456457406,1,7,63879
47456458511,1,7,64971
47456459050,2,7,65504
47456459050,2,14,13639
47456459050,1,14,13639
47456460822,1,7,65505
47456460822,1,14,15405
47456461914,2,7,66577
47456461914,2,7,66578
47456461914,2,7,66578
47456461914,1,7,66578
47456461914,2,7,66578
47456461914,1,7,66578
47456463576,2,14,15406
47456463576,1,14,15406
47456463576,2,14,15406
47456463576,1,14,15406
47456463576,2,14,15406
47456463576,1,14,15406
47456463576,2,14,15406
47456463576,1,14,15406
47456463576,2,14,15406
47456476141,1,14,27885
47456476141,2,14,27885
47456476141,1,14,27885
47456476141,2,14,27885
47456476141,1,14,27885
47456476141,2,14,27885
47456476141,1,14,27885
47456476141,2,14,27885
47456482323,1,7,68179
47456482323,2,7,68179
47456482323,1,7,68179
47456482323,2,7,68179
47456482323,1,7,68179
47456482323,2,7,68179
47456482323,1,7,68179
47456482323,2,7,68179
47456482323,1,7,68179
47456482323,2,7,68179
47456482323,1,7,68179
47456498876,2,7,84635
47456498876,2,7,84635
47456498876,2,7,84635
47456498876,1,7,84635
47456498876,2,7,84635
47456510609,2,7,96356
47456510609,2,7,96357
47456510609,1,7,96357
47456510609,2,7,96357
47456510609,1,7,96357
47456511096,1,7,96829
47456511096,1,14,34021
47456511096,2,14,34021
47456511096,1,14,34021
47456517356,2,7,96830
47456517356,2,7,96830
47456517356,1,7,96830
47456517356,2,7,96830
47456517356,1,7,96830
47456520573,2,7,100003
47456520573,2,14,40249
